INSTNM,CITY,STABBR,CreditBaseline,YearlyEstimatedSavings,ANNUAL AVG,estimatedReturnRate
Telshe Yeshiva-Chicago,Chicago,IL,0.4,11867.15,4490.0,0.124
South Suburban College,South Holland,IL,0.4,11920.01,4510.0,0.124
Tri-County Beauty Academy,LITCHFIELD,IL,0.4,12712.91,4810.0,0.132
Trinity Christian College,Palos Heights,IL,0.4,11920.01,4510.0,0.124
Trinity International University-Illinois,Deerfield,IL,0.4,11893.58,4500.0,0.124
Triton College,River Grove,IL,0.4,11629.28,4400.0,0.121
University of Spa & Cosmetology Arts,Springfield,IL,0.4,12607.19,4770.0,0.131
University of Illinois System Offices,Urbana,IL,0.3,12395.75,4690.0,0.111
VanderCook College of Music,Chicago,IL,0.4,11893.58,4500.0,0.124
Waubonsee Community College,Sugar Grove,IL,0.4,11814.29,4470.0,0.123
Oak Point University,Oak Brook,IL,0.4,11893.58,4500.0,0.124
Western Illinois University,Macomb,IL,0.4,12448.61,4710.0,0.13
Wheaton College,Wheaton,IL,0.4,11867.15,4490.0,0.124
William Rainey Harper College,Palatine,IL,0.4,11920.01,4510.0,0.124
Anderson University,Anderson,IN,0.3,11972.87,4530.0,0.107
Ball State University,Muncie,IN,0.3,11814.29,4470.0,0.105
Bethel University,Mishawaka,IN,0.3,11629.28,4400.0,0.104
Butler University,Indianapolis,IN,0.3,12131.45,4590.0,0.108
Calumet College of Saint Joseph,Whiting,IN,0.4,11629.28,4400.0,0.121
Christian Theological Seminary,Indianapolis,IN,0.3,12131.45,4590.0,0.108
College of Court Reporting Inc,Valparaiso,IN,0.4,11708.57,4430.0,0.122
Concordia Theological Seminary,Fort Wayne,IN,0.3,11708.57,4430.0,0.105
Tricoci University of Beauty Culture-Highland,Highland,IN,0.4,11735.0,4440.0,0.122
DePauw University,Greencastle,IN,0.3,12263.6,4640.0,0.109
Don Roberts School of Hair Design,Schererville,IN,0.4,11946.44,4520.0,0.124
Earlham College,Richmond,IN,0.3,11893.58,4500.0,0.106
University of Evansville,Evansville,IN,0.3,12633.62,4780.0,0.113
Franklin College,Franklin,IN,0.3,12316.46,4660.0,0.11
Goshen College,Goshen,IN,0.3,11523.55,4360.0,0.103
Grace College and Theological Seminary,Winona Lake,IN,0.3,11602.85,4390.0,0.104
Hanover College,Hanover,IN,0.3,12342.89,4670.0,0.11
J Michael Harrold Beauty Academy,Terre Haute,IN,0.4,12316.46,4660.0,0.128
Holy Cross College,Notre Dame,IN,0.3,11602.85,4390.0,0.104
PJ's College of Cosmetology-Clarksville,Clarksville,IN,0.3,12422.18,4700.0,0.111
Huntington University,Huntington,IN,0.3,11655.71,4410.0,0.104
Ivy Tech Community College,Indianapolis,IN,0.3,12131.45,4590.0,0.108
Purdue University Fort Wayne,Fort Wayne,IN,0.3,11708.57,4430.0,0.105
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,0.3,12157.88,4600.0,0.109
University of Indianapolis,Indianapolis,IN,0.3,12157.88,4600.0,0.109
Indiana Institute of Technology,Fort Wayne,IN,0.3,11682.14,4420.0,0.104
University of Southern Indiana,Evansville,IN,0.4,12660.05,4790.0,0.132
Indiana State University,Terre Haute,IN,0.4,12369.32,4680.0,0.129
Indiana University-Kokomo,Kokomo,IN,0.3,11946.44,4520.0,0.107
Indiana University-South Bend,South Bend,IN,0.3,11602.85,4390.0,0.104
Indiana University-Bloomington,Bloomington,IN,0.3,12369.32,4680.0,0.11
Indiana University-Northwest,Gary,IN,0.4,11867.15,4490.0,0.124
Indiana University-Southeast,New Albany,IN,0.3,12475.04,4720.0,0.111
Indiana University-East,Richmond,IN,0.3,11999.3,4540.0,0.107
International Business College-Indianapolis,Indianapolis,IN,0.3,12078.59,4570.0,0.108
Taylor Institute of Cosmetology II,Knox,IN,0.3,11549.98,4370.0,0.103
Tricoci University of Beauty Culture-Lafayette,Lafayette,IN,0.3,11920.01,4510.0,0.106
Lincoln College of Technology-Indianapolis,Indianapolis,IN,0.3,12105.02,4580.0,0.108
Manchester University,North Manchester,IN,0.3,11629.28,4400.0,0.104
Marian University,Indianapolis,IN,0.3,12105.02,4580.0,0.108
Indiana Wesleyan University-Marion,Marion,IN,0.3,11735.0,4440.0,0.105
Martin University,Indianapolis,IN,0.3,12157.88,4600.0,0.109
Anabaptist Mennonite Biblical Seminary,Elkhart,IN,0.3,11497.12,4350.0,0.103
Mid-America College of Funeral Service,Jeffersonville,IN,0.3,12422.18,4700.0,0.111
West Michigan College of Barbering and Beauty,Kalamazoo,MI,0.3,11497.12,4350.0,0.103
University of Notre Dame,Notre Dame,IN,0.3,11523.55,4360.0,0.103
Oakland City University,Oakland City,IN,0.4,12554.33,4750.0,0.131
PJ's College of Cosmetology-Richmond,Richmond,IN,0.3,11999.3,4540.0,0.107
Ravenscroft Beauty College,Fort Wayne,IN,0.3,11682.14,4420.0,0.104
Rogers Academy of Hair Design,Evansville,IN,0.3,12633.62,4780.0,0.113
Rose-Hulman Institute of Technology,Terre Haute,IN,0.4,12316.46,4660.0,0.128
University of Saint Francis-Fort Wayne,Fort Wayne,IN,0.3,11682.14,4420.0,0.104
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,0.4,12316.46,4660.0,0.128
Saint Mary's College,Notre Dame,IN,0.3,11523.55,4360.0,0.103
Saint Meinrad School of Theology,St. Meinrad,IN,0.4,12527.9,4740.0,0.13
Saint Elizabeth School of Nursing,Lafayette,IN,0.3,11920.01,4510.0,0.106
Taylor University,Upland,IN,0.3,11787.86,4460.0,0.105
Trine University,Angola,IN,0.3,11470.69,4340.0,0.102
Valparaiso University,Valparaiso,IN,0.4,11708.57,4430.0,0.122
Vincennes Beauty College,Vincennes,IN,0.3,12316.46,4660.0,0.11
Vincennes University,Vincennes,IN,0.3,12316.46,4660.0,0.11
Wabash College,Crawfordsville,IN,0.4,12052.16,4560.0,0.126
Allen College,Waterloo,IA,0.3,11972.87,4530.0,0.107
Briar Cliff University,Sioux City,IA,0.3,12818.63,4850.0,0.114
Buena Vista University,Storm Lake,IA,0.3,12501.47,4730.0,0.112
Capri College-Dubuque,Dubuque,IA,0.4,11946.44,4520.0,0.124
Capri College-Cedar Rapids,Cedar Rapids,IA,0.3,11999.3,4540.0,0.107
Central College,Pella,IA,0.4,12316.46,4660.0,0.128
Clarke University,Dubuque,IA,0.4,11761.43,4450.0,0.123
Coe College,Cedar Rapids,IA,0.4,12131.45,4590.0,0.126
Cornell College,Mount Vernon,IA,0.3,11972.87,4530.0,0.107
Des Moines Area Community College,Ankeny,IA,0.3,12448.61,4710.0,0.111
Divine Word College,Epworth,IA,0.3,11867.15,4490.0,0.106
Dordt University,Sioux Center,IA,0.3,12527.9,4740.0,0.112
Drake University,Des Moines,IA,0.3,12607.19,4770.0,0.113
University of Dubuque,Dubuque,IA,0.3,11946.44,4520.0,0.107
Ellsworth Community College,Iowa Falls,IA,0.3,12052.16,4560.0,0.108
Emmaus Bible College,Dubuque,IA,0.3,11972.87,4530.0,0.107
Eastern Iowa Community College District,Davenport,IA,0.3,12290.03,4650.0,0.11
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,0.3,12448.61,4710.0,0.111
Graceland University-Lamoni,Lamoni,IA,0.3,12607.19,4770.0,0.113
Grand View University,Des Moines,IA,0.3,12607.19,4770.0,0.113
Grinnell College,Grinnell,IA,0.3,12316.46,4660.0,0.11
Orion Technical College,Davenport,IA,0.3,12290.03,4650.0,0.11
Hawkeye Community College,Waterloo,IA,0.3,12025.73,4550.0,0.107
American Hair Academy,Mt. Pleasant,IA,0.3,12395.75,4690.0,0.111
Indian Hills Community College,Ottumwa,IA,0.3,12422.18,4700.0,0.111
Iowa Central Community College,Fort Dodge,IA,0.3,12369.32,4680.0,0.11
Iowa Lakes Community College,Estherville,IA,0.3,12078.59,4570.0,0.108
UnityPoint Health-Des Moines School of Radiologic Technology,Des Moines,IA,0.3,12475.04,4720.0,0.111
Iowa School of Beauty-Des Moines,Des Moines,IA,0.3,12395.75,4690.0,0.111
Iowa State University,Ames,IA,0.3,12369.32,4680.0,0.11
Iowa Wesleyan University,Mount Pleasant,IA,0.3,12395.75,4690.0,0.111
Iowa Western Community College,Council Bluffs,IA,0.3,12871.49,4870.0,0.115
University of Iowa,Iowa City,IA,0.3,12131.45,4590.0,0.108
Kirkwood Community College,Cedar Rapids,IA,0.4,12131.45,4590.0,0.126
La James International College-Cedar Falls,Cedar Falls,IA,0.3,11920.01,4510.0,0.106
La James International College-Johnston,Johnston,IA,0.3,12395.75,4690.0,0.111
La James College of Hairstyling and Cosmetology,Mason City,IA,0.3,11946.44,4520.0,0.107
La James International College-Ft Dodge,Fort Dodge,IA,0.3,12395.75,4690.0,0.111
Loras College,Dubuque,IA,0.4,11761.43,4450.0,0.123
Luther College,Decorah,IA,0.3,11761.43,4450.0,0.105
Maharishi International University,Fairfield,IA,0.3,12395.75,4690.0,0.111
Marshalltown Community College,Marshalltown,IA,0.4,12210.74,4620.0,0.127
Mercy College of Health Sciences,Des Moines,IA,0.3,12475.04,4720.0,0.111
Morningside University,Sioux City,IA,0.3,12818.63,4850.0,0.114
Mount Mercy University,Cedar Rapids,IA,0.4,12078.59,4570.0,0.126
Ashford University,San Diego,CA,0.4,15990.25,6050.0,0.167
North Iowa Area Community College,Mason City,IA,0.3,11946.44,4520.0,0.107
University of Northern Iowa,Cedar Falls,IA,0.3,11920.01,4510.0,0.106
Northwestern College,Orange City,IA,0.3,12501.47,4730.0,0.112
Northeast Iowa Community College,Calmar,IA,0.3,11814.29,4470.0,0.105
Northwest Iowa Community College,Sheldon,IA,0.3,12342.89,4670.0,0.11
Des Moines University-Osteopathic Medical Center,Des Moines,IA,0.3,12475.04,4720.0,0.111
Iowa School of Beauty-Ottumwa,Ottumwa,IA,0.3,12475.04,4720.0,0.111
Palmer College of Chiropractic,Davenport,IA,0.3,12290.03,4650.0,0.11
PCI Academy-Ames,Ames,IA,0.3,12369.32,4680.0,0.11
Saint Ambrose University,Davenport,IA,0.3,12290.03,4650.0,0.11
St Luke's College,Sioux City,IA,0.3,12818.63,4850.0,0.114
La James International College-Davenport,Davenport,IA,0.3,12290.03,4650.0,0.11
Simpson College,Indianola,IA,0.3,12501.47,4730.0,0.112
Southeastern Community College,West Burlington,IA,0.3,12369.32,4680.0,0.11
Southwestern Community College,Creston,IA,0.3,12633.62,4780.0,0.113
Capri College-Davenport,Davenport,IA,0.3,12290.03,4650.0,0.11
Iowa School of Beauty-Sioux City,Sioux City,IA,0.3,12818.63,4850.0,0.114
E Q School of Hair Design,Council Bluffs,IA,0.3,12977.21,4910.0,0.116
Upper Iowa University,Fayette,IA,0.3,11840.72,4480.0,0.106
Waldorf University,Forest City,IA,0.3,11920.01,4510.0,0.106
Wartburg College,Waverly,IA,0.3,11920.01,4510.0,0.106
Wartburg Theological Seminary,Dubuque,IA,0.4,11946.44,4520.0,0.124
The Salon Professional Academy-Cedar Falls,Cedar Falls,IA,0.3,11920.01,4510.0,0.106
Western Iowa Tech Community College,Sioux City,IA,0.3,12818.63,4850.0,0.114
William Penn University,Oskaloosa,IA,0.3,12369.32,4680.0,0.11
Allen County Community College,Iola,KS,0.3,13320.81,5040.0,0.119
Baker University,Baldwin City,KS,0.3,13188.66,4990.0,0.118
Barton County Community College,Great Bend,KS,0.3,14483.73,5480.0,0.129
Benedictine College,Atchison,KS,0.3,13162.23,4980.0,0.118
Bethany College,Lindsborg,KS,0.3,14060.85,5320.0,0.126
Bethel College-North Newton,North Newton,KS,0.3,14034.42,5310.0,0.125
Butler Community College,El Dorado,KS,0.3,13928.7,5270.0,0.124
Central Christian College of Kansas,McPherson,KS,0.3,14087.28,5330.0,0.126
Cloud County Community College,Concordia,KS,0.3,13902.27,5260.0,0.124
Coffeyville Community College,Coffeyville,KS,0.3,13558.68,5130.0,0.121
Colby Community College,Colby,KS,0.3,15038.77,5690.0,0.134
Cowley County Community College,Arkansas City,KS,0.3,14060.85,5320.0,0.126
Dodge City Community College,Dodge City,KS,0.3,15197.35,5750.0,0.136
Donnelly College,Kansas City,KS,0.3,13135.8,4970.0,0.117
Emporia State University,Emporia,KS,0.3,13611.54,5150.0,0.122
Flint Hills Technical College,Emporia,KS,0.3,13664.4,5170.0,0.122
Fort Hays State University,Hays,KS,0.3,14668.75,5550.0,0.131
Barclay College,Haviland,KS,0.3,14906.62,5640.0,0.133
Friends University,Wichita,KS,0.3,14087.28,5330.0,0.126
Fort Scott Community College,Fort Scott,KS,0.4,13267.95,5020.0,0.138
Garden City Community College,Garden City,KS,0.3,15303.07,5790.0,0.137
Haskell Indian Nations University,Lawrence,KS,0.3,13215.09,5000.0,0.118
Hays Academy of Hair Design,Hays,KS,0.3,14668.75,5550.0,0.131
Hesston College,Hesston,KS,0.3,14007.99,5300.0,0.125
Highland Community College,Highland,KS,0.3,13082.93,4950.0,0.117
Hutchinson Community College,Hutchinson,KS,0.3,14272.29,5400.0,0.127
Independence Community College,Independence,KS,0.3,13558.68,5130.0,0.121
Johnson County Community College,Overland Park,KS,0.3,13135.8,4970.0,0.117
Concorde Career College-Kansas City,Kansas City,MO,0.3,13109.37,4960.0,0.117
Kansas City Kansas Community College,Kansas City,KS,0.3,13162.23,4980.0,0.118
Kansas Christian College,Overland Park,KS,0.3,13109.37,4960.0,0.117
University of Kansas,Lawrence,KS,0.3,13215.09,5000.0,0.118
Newman University,Wichita,KS,0.3,14087.28,5330.0,0.126
Old Town Barber College-Wichita,Wichita,KS,0.3,14087.28,5330.0,0.126
Kansas State University,Manhattan,KS,0.3,13664.4,5170.0,0.122
Kansas Wesleyan University,Salina,KS,0.3,14034.42,5310.0,0.125
Washburn Institute of Technology,Topeka,KS,0.3,13400.1,5070.0,0.12
Labette Community College,Parsons,KS,0.3,13347.24,5050.0,0.119
Manhattan Area Technical College,Manhattan,KS,0.3,13717.26,5190.0,0.122
Manhattan Christian College,Manhattan,KS,0.3,13664.4,5170.0,0.122
McPherson College,McPherson,KS,0.3,14087.28,5330.0,0.126
MidAmerica Nazarene University,Olathe,KS,0.3,13162.23,4980.0,0.118
Neosho County Community College,Chanute,KS,0.3,13373.67,5060.0,0.119
North Central Kansas Technical College,Beloit,KS,0.3,14087.28,5330.0,0.126
Northwest Kansas Technical College,Goodland,KS,0.3,15170.92,5740.0,0.135
Ottawa University-Ottawa,Ottawa,KS,0.3,13188.66,4990.0,0.118
Ottawa University-Kansas City,Overland Park,KS,0.3,13109.37,4960.0,0.117
Pittsburg State University,Pittsburg,KS,0.3,13267.95,5020.0,0.118
Pratt Community College,Pratt,KS,0.3,14748.04,5580.0,0.132
University of Saint Mary,Leavenworth,KS,0.3,13215.09,5000.0,0.118
Salina Area Technical College,Salina,KS,0.3,14007.99,5300.0,0.125
Seward County Community College,Liberal,KS,0.3,15567.37,5890.0,0.139
Southwestern College,Winfield,KS,0.3,14034.42,5310.0,0.125
Sterling College,Sterling,KS,0.3,14378.01,5440.0,0.128
Tabor College,Hillsboro,KS,0.3,13902.27,5260.0,0.124
Washburn University,Topeka,KS,0.3,13400.1,5070.0,0.12
Wichita State University-Campus of Applied Sciences and Technology,Wichita,KS,0.3,14060.85,5320.0,0.126
Wichita State University,Wichita,KS,0.3,14060.85,5320.0,0.126
Wichita Technical Institute,Wichita,KS,0.3,14087.28,5330.0,0.126
Alice Lloyd College,Pippa Passes,KY,0.4,12078.59,4570.0,0.126
Asbury University,Wilmore,KY,0.4,12263.6,4640.0,0.128
Asbury Theological Seminary,Wilmore,KY,0.3,12263.6,4640.0,0.109
Ashland Community and Technical College,Ashland,KY,0.4,12157.88,4600.0,0.127
Barrett and Company School of Hair Design,Nicholasville,KY,0.3,12316.46,4660.0,0.11
Bellarmine University,Louisville,KY,0.3,12422.18,4700.0,0.111
Berea College,Berea,KY,0.4,12210.74,4620.0,0.127
PJ's College of Cosmetology-Bowling Green,Bowling Green,KY,0.4,12607.19,4770.0,0.131
Southcentral Kentucky Community and Technical College,Bowling Green,KY,0.4,12607.19,4770.0,0.131
Brescia University,Owensboro,KY,0.4,12633.62,4780.0,0.132
Campbellsville University,Campbellsville,KY,0.4,12475.04,4720.0,0.13
Bluegrass Community and Technical College,Lexington,KY,0.3,12316.46,4660.0,0.11
Centre College,Danville,KY,0.4,12395.75,4690.0,0.129
Clear Creek Baptist Bible College,Pineville,KY,0.4,12263.6,4640.0,0.128
Paul Mitchell the School-Lexington,Lexington,KY,0.3,12316.46,4660.0,0.11
Galen College of Nursing-Louisville,Louisville,KY,0.3,12422.18,4700.0,0.111
University of the Cumberlands,Williamsburg,KY,0.4,12316.46,4660.0,0.128
Eastern Kentucky University,Richmond,KY,0.4,12342.89,4670.0,0.129
Elizabethtown Community and Technical College,Elizabethtown,KY,0.4,12475.04,4720.0,0.13
Frontier Nursing University,Versailles,KY,0.4,12395.75,4690.0,0.129
Georgetown College,Georgetown,KY,0.3,12369.32,4680.0,0.11
PJ's College of Cosmetology-Glasgow,Glasgow,KY,0.4,12607.19,4770.0,0.131
Hazard Community and Technical College,Hazard,KY,0.4,12105.02,4580.0,0.126
Paul Mitchell the School-Louisville,Louisville,KY,0.3,12395.75,4690.0,0.111
Henderson Community College,Henderson,KY,0.4,12712.91,4810.0,0.132
Hopkinsville Community College,Hopkinsville,KY,0.3,12712.91,4810.0,0.114
Jefferson Community and Technical College,Louisville,KY,0.3,12422.18,4700.0,0.111
Summit Salon Academy-Lexington,Lexington,KY,0.3,12369.32,4680.0,0.11
American National University-Pikeville,Pikeville,KY,0.4,12052.16,4560.0,0.126
Kentucky Mountain Bible College,Jackson,KY,0.4,12184.31,4610.0,0.127
Kentucky State University,Frankfort,KY,0.4,12422.18,4700.0,0.129
Kentucky Wesleyan College,Owensboro,KY,0.4,12633.62,4780.0,0.132
University of Kentucky,Lexington,KY,0.3,12316.46,4660.0,0.11
Kentucky Christian University,Grayson,KY,0.4,12237.17,4630.0,0.127
Lexington Theological Seminary,Lexington,KY,0.3,12316.46,4660.0,0.11
Lindsey Wilson College,Columbia,KY,0.4,12448.61,4710.0,0.13
University of Louisville,Louisville,KY,0.3,12422.18,4700.0,0.111
Louisville Presbyterian Theological Seminary,Louisville,KY,0.3,12369.32,4680.0,0.11
Madisonville Community College,Madisonville,KY,0.4,12660.05,4790.0,0.132
Maysville Community and Technical College,Maysville,KY,0.4,12342.89,4670.0,0.129
Midway University,Midway,KY,0.4,12422.18,4700.0,0.129
Morehead State University,Morehead,KY,0.4,12184.31,4610.0,0.127
Murray State University,Murray,KY,0.4,12818.63,4850.0,0.134
Gateway Community and Technical College,Florence,KY,0.3,12316.46,4660.0,0.11
Northern Kentucky University,Highland Heights,KY,0.3,12290.03,4650.0,0.11
West Kentucky Community and Technical College,Paducah,KY,0.4,12845.06,4860.0,0.134
University of Pikeville,Pikeville,KY,0.4,12052.16,4560.0,0.126
Big Sandy Community and Technical College,Prestonsburg,KY,0.4,12052.16,4560.0,0.126
Empire Beauty School-Chenoweth,Louisville,KY,0.3,12369.32,4680.0,0.11
Empire Beauty School-Elizabethtown,Elizabethtown,KY,0.4,12475.04,4720.0,0.13
Empire Beauty School-Dixie,Louisville,KY,0.3,12422.18,4700.0,0.111
Empire Beauty School-Florence,Florence,KY,0.3,12316.46,4660.0,0.11
Somerset Community College,Somerset,KY,0.4,12395.75,4690.0,0.129
Southeast Kentucky Community & Technical College,Cumberland,KY,0.4,11999.3,4540.0,0.125
The Southern Baptist Theological Seminary,Louisville,KY,0.3,12369.32,4680.0,0.11
Spalding University,Louisville,KY,0.3,12422.18,4700.0,0.111
Sullivan University,Louisville,KY,0.3,12369.32,4680.0,0.11
Thomas More University,Crestview Hills,KY,0.3,12342.89,4670.0,0.11
Transylvania University,Lexington,KY,0.3,12369.32,4680.0,0.11
Kentucky Community and Technical College System,Versailles,KY,0.4,12395.75,4690.0,0.129
Union College,Barbourville,KY,0.4,12316.46,4660.0,0.128
Western Kentucky University,Bowling Green,KY,0.4,12607.19,4770.0,0.131
Central Louisiana Technical Community College,Alexandria,LA,0.3,13452.96,5090.0,0.12
Ayers Career College,Shreveport,LA,0.4,13400.1,5070.0,0.14
Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology,Baton Rouge,LA,0.3,13585.11,5140.0,0.121
Baton Rouge School of Computers,Baton Rouge,LA,0.3,13479.39,5100.0,0.12
Bossier Parish Community College,Bossier City,LA,0.4,13373.67,5060.0,0.139
Centenary College of Louisiana,Shreveport,LA,0.4,13400.1,5070.0,0.14
Cloyd's Beauty School 1 Inc,West Monroe,LA,0.4,13426.53,5080.0,0.14
Crescent City Bartending School,New Orleans,LA,0.4,13532.25,5120.0,0.141
Delgado Community College,New Orleans,LA,0.4,13585.11,5140.0,0.142
Avery James College,Lake Charles,LA,0.3,13109.37,4960.0,0.117
Denham Springs Beauty School,Denham Springs,LA,0.3,13505.82,5110.0,0.121
Dillard University,New Orleans,LA,0.4,13532.25,5120.0,0.141
Nunez Community College,Chalmette,LA,0.4,13320.81,5040.0,0.139
Grambling State University,Grambling,LA,0.4,13320.81,5040.0,0.139
Guy's Shreveport Academy of Cosmetology Inc,Shreveport,LA,0.4,13400.1,5070.0,0.14
ITI Technical College,Baton Rouge,LA,0.3,13558.68,5130.0,0.121
John Jay Beauty College,Kenner,LA,0.4,13717.26,5190.0,0.143
Louisiana State University Health Sciences Center-New Orleans,New Orleans,LA,0.4,13532.25,5120.0,0.141
Louisiana State University-Alexandria,Alexandria,LA,0.3,13320.81,5040.0,0.119
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,0.3,13585.11,5140.0,0.121
Louisiana State University-Eunice,Eunice,LA,0.3,13452.96,5090.0,0.12
Louisiana State University-Shreveport,Shreveport,LA,0.4,13400.1,5070.0,0.14
Aveda Arts & Sciences Institute-Baton Rouge,Baton Rouge,LA,0.3,13479.39,5100.0,0.12
Aveda Arts & Sciences Institute-Lafayette,Lafayette,LA,0.3,13505.82,5110.0,0.121
Louisiana Academy of Beauty,Eunice,LA,0.4,13452.96,5090.0,0.14
Louisiana Christian University,Pineville,LA,0.3,13452.96,5090.0,0.12
Opelousas School of Cosmetology,Opelousas,LA,0.4,13532.25,5120.0,0.141
Louisiana Tech University,Ruston,LA,0.4,13320.81,5040.0,0.139
Loyola University New Orleans,New Orleans,LA,0.4,13585.11,5140.0,0.142
McNeese State University,Lake Charles,LA,0.3,13400.1,5070.0,0.12
University of New Orleans,New Orleans,LA,0.4,13690.83,5180.0,0.143
New Orleans Baptist Theological Seminary,New Orleans,LA,0.4,13690.83,5180.0,0.143
Nicholls State University,Thibodaux,LA,0.3,13452.96,5090.0,0.12
University of Louisiana at Monroe,Monroe,LA,0.4,13400.1,5070.0,0.14
Northwest Louisiana Technical Community College,Minden,LA,0.4,13294.38,5030.0,0.138
Northwestern State University of Louisiana,Natchitoches,LA,0.4,13452.96,5090.0,0.14
University of Holy Cross,New Orleans,LA,0.4,13320.81,5040.0,0.139
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,0.3,13585.11,5140.0,0.121
Pat Goins Benton Road Beauty School,Shreveport,LA,0.4,13400.1,5070.0,0.14
Celebrity Stylist Beauty School,Monroe,LA,0.4,13400.1,5070.0,0.14
Pineville Beauty School,Pineville,LA,0.3,13452.96,5090.0,0.12
Aveda Arts & Sciences Institute-Covington,Covington,LA,0.4,13875.84,5250.0,0.145
Saint Joseph Seminary College,St. Benedict,LA,0.4,13637.97,5160.0,0.142
LaSalle Tech,Houma,LA,0.3,13690.83,5180.0,0.122
Fletcher Technical Community College,Schriever,LA,0.3,13585.11,5140.0,0.121
Remington College-Lafayette Campus,Lafayette,LA,0.3,13558.68,5130.0,0.121
Southern University-Board and System,Baton Rouge,LA,0.3,13505.82,5110.0,0.121
SOWELA Technical Community College,Lake Charles,LA,0.3,13267.95,5020.0,0.118
Stevensons Academy of Hair Design,New Orleans,LA,0.4,13532.25,5120.0,0.141
Southeastern Louisiana University,Hammond,LA,0.4,13558.68,5130.0,0.141
Southern University and A & M College,Baton Rouge,LA,0.3,13505.82,5110.0,0.121
Southern University at New Orleans,New Orleans,LA,0.4,13690.83,5180.0,0.143
Southern University at Shreveport,Shreveport,LA,0.4,13320.81,5040.0,0.139
University of Louisiana at Lafayette,Lafayette,LA,0.3,13505.82,5110.0,0.121
Northshore Technical Community College,Lacombe,LA,0.4,13770.12,5210.0,0.143
Tulane University of Louisiana,New Orleans,LA,0.4,13585.11,5140.0,0.142
Xavier University of Louisiana,New Orleans,LA,0.4,13585.11,5140.0,0.142
College of the Atlantic,Bar Harbor,ME,0.3,11761.43,4450.0,0.105
Bates College,Lewiston,ME,0.3,11761.43,4450.0,0.105
Beal University,Bangor,ME,0.3,11761.43,4450.0,0.105
Bowdoin College,Brunswick,ME,0.3,12052.16,4560.0,0.108
Maine College of Health Professions,Lewiston,ME,0.3,11761.43,4450.0,0.105
Central Maine Community College,Auburn,ME,0.3,11761.43,4450.0,0.105
Colby College,Waterville,ME,0.3,11470.69,4340.0,0.102
Eastern Maine Community College,Bangor,ME,0.3,11576.42,4380.0,0.103
Kennebec Valley Community College,Fairfield,ME,0.3,11470.69,4340.0,0.102
The Landing School,Arundel,ME,0.3,12316.46,4660.0,0.11
University of Maine at Augusta,Augusta,ME,0.3,11840.72,4480.0,0.106
University of Maine at Farmington,Farmington,ME,0.3,11682.14,4420.0,0.104
University of Maine at Fort Kent,Fort Kent,ME,0.3,10915.66,4130.0,0.097
University of Maine,Orono,ME,0.3,11444.26,4330.0,0.102
University of Maine-System Central Office,Orono,ME,0.3,11444.26,4330.0,0.102
Maine Maritime Academy,Castine,ME,0.3,11708.57,4430.0,0.105
University of Maine at Presque Isle,Presque Isle,ME,0.3,11259.25,4260.0,0.101
University of New England,Biddeford,ME,0.3,12131.45,4590.0,0.108
Northern Maine Community College,Presque Isle,ME,0.3,11259.25,4260.0,0.101
Empire Beauty School-Maine,Portland,ME,0.3,12237.17,4630.0,0.109
Maine College of Art & Design,Portland,ME,0.3,12237.17,4630.0,0.109
Saint Joseph's College of Maine,Standish,ME,0.3,11840.72,4480.0,0.106
Spa Tech Institute-Westbrook,Westbrook,ME,0.3,12105.02,4580.0,0.108
Southern Maine Community College,South Portland,ME,0.3,12237.17,4630.0,0.109
University of Southern Maine,Portland,ME,0.3,12237.17,4630.0,0.109
Thomas College,Waterville,ME,0.3,11470.69,4340.0,0.102
Unity College,New Gloucester,ME,0.3,12052.16,4560.0,0.108
Washington County Community College,Calais,ME,0.3,11391.4,4310.0,0.102
Allegany College of Maryland,Cumberland,MD,0.3,11946.44,4520.0,0.107
Anne Arundel Community College,Arnold,MD,0.3,12712.91,4810.0,0.114
Award Beauty School,Hagerstown,MD,0.3,12395.75,4690.0,0.111
Baltimore Studio of Hair Design,Baltimore,MD,0.3,12818.63,4850.0,0.114
Baltimore City Community College,Baltimore,MD,0.3,12712.91,4810.0,0.114
University of Baltimore,Baltimore,MD,0.3,12712.91,4810.0,0.114
Bowie State University,Bowie,MD,0.3,12792.2,4840.0,0.114
Capitol Technology University,Laurel,MD,0.3,12765.77,4830.0,0.114
Cecil College,North East,MD,0.3,12607.19,4770.0,0.113
College of Southern Maryland,La Plata,MD,0.3,12977.21,4910.0,0.116
Chesapeake College,Wye Mills,MD,0.3,12924.35,4890.0,0.115
Washington Adventist University,Takoma Park,MD,0.3,12871.49,4870.0,0.115
Coppin State University,Baltimore,MD,0.3,12712.91,4810.0,0.114
Del-Mar-Va Beauty Academy,Salisbury,MD,0.3,13003.64,4920.0,0.116
North American Trade Schools,Baltimore,MD,0.3,12686.48,4800.0,0.113
Frederick Community College,Frederick,MD,0.3,12527.9,4740.0,0.112
Frostburg State University,Frostburg,MD,0.4,11893.58,4500.0,0.124
Garrett College,McHenry,MD,0.4,11417.83,4320.0,0.119
