INSTNM,CITY,STABBR,CreditBaseline,YearlyEstimatedSavings,ANNUAL AVG,estimatedReturnRate
Grand Canyon University,Phoenix,AZ,0.3,17734.65,6710.0,0.158
Maricopa Community College System Office,Tempe,AZ,0.3,17628.92,6670.0,0.157
GateWay Community College,Phoenix,AZ,0.3,17628.92,6670.0,0.157
Mesa Community College,Mesa,AZ,0.3,17681.78,6690.0,0.158
Mohave Community College,Kingman,AZ,0.4,17576.06,6650.0,0.183
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Avondale,AZ,0.3,17708.21,6700.0,0.158
Dine College,Tsaile,AZ,0.4,16518.86,6250.0,0.172
Northern Arizona University,Flagstaff,AZ,0.4,16730.3,6330.0,0.174
Northland Pioneer College,Holbrook,AZ,0.4,17338.19,6560.0,0.181
Ottawa University-Phoenix,Phoenix,AZ,0.3,17734.65,6710.0,0.158
Phoenix College,Phoenix,AZ,0.3,17655.35,6680.0,0.158
Pima Community College,Tucson,AZ,0.4,17681.78,6690.0,0.184
Pima Medical Institute-Tucson,Tucson,AZ,0.4,17681.78,6690.0,0.184
Pima Medical Institute-Albuquerque,Albuquerque,NM,0.3,17443.91,6600.0,0.156
Prescott College,Prescott,AZ,0.3,17073.89,6460.0,0.152
Refrigeration School Inc,Phoenix,AZ,0.3,17628.92,6670.0,0.157
Rio Salado College,Tempe,AZ,0.3,17628.92,6670.0,0.157
Roberto-Venn School of Luthiery,Phoenix,AZ,0.3,17655.35,6680.0,0.158
Scottsdale Community College,Scottsdale,AZ,0.3,17681.78,6690.0,0.158
South Mountain Community College,Phoenix,AZ,0.3,17602.49,6660.0,0.157
Arizona Christian University,Glendale,AZ,0.3,17813.94,6740.0,0.159
Universal Technical Institute of Arizona Inc,Avondale,AZ,0.3,17708.21,6700.0,0.158
Yavapai College,Prescott,AZ,0.3,17073.89,6460.0,0.152
University of Arkansas at Little Rock,Little Rock,AR,0.3,13135.8,4970.0,0.117
University of Arkansas for Medical Sciences,Little Rock,AR,0.3,13135.8,4970.0,0.117
Arkansas Baptist College,Little Rock,AR,0.3,13135.8,4970.0,0.117
Arkansas Beauty School-Little Rock,Little Rock,AR,0.3,13162.23,4980.0,0.118
Arkansas Beauty College,Russellville,AR,0.4,13241.52,5010.0,0.138
Lyon College,Batesville,AR,0.4,13162.23,4980.0,0.137
Arkansas Technical School,North Little Rock,AR,0.3,13135.8,4970.0,0.117
Arthur's Beauty College,Fort Smith,AR,0.3,13320.81,5040.0,0.119
University of Arkansas,Fayetteville,AR,0.3,13347.24,5050.0,0.119
University of Arkansas at Pine Bluff,Pine Bluff,AR,0.4,13373.67,5060.0,0.139
Arkansas State University-Beebe,Beebe,AR,0.4,13241.52,5010.0,0.138
Arkansas State University,Jonesboro,AR,0.3,13162.23,4980.0,0.118
Arkansas Tech University,Russellville,AR,0.4,13241.52,5010.0,0.138
University of Arkansas at Monticello,Monticello,AR,0.4,13426.53,5080.0,0.14
Arthur's Beauty College,Jacksonville,AR,0.3,13135.8,4970.0,0.117
Baptist Health College Little Rock,Little Rock,AR,0.3,13109.37,4960.0,0.117
Black River Technical College,Pocahontas,AR,0.4,13188.66,4990.0,0.137
University of Central Arkansas,Conway,AR,0.3,13082.93,4950.0,0.117
Central Baptist College,Conway,AR,0.3,13082.93,4950.0,0.117
Cossatot Community College of the University of Arkansas,De Queen,AR,0.4,13188.66,4990.0,0.137
Crowley's Ridge College,Paragould,AR,0.4,13215.09,5000.0,0.138
East Arkansas Community College,Forrest City,AR,0.4,13347.24,5050.0,0.139
Eastern College of Health Vocations-Little Rock,Little Rock,AR,0.3,13135.8,4970.0,0.117
Paul Mitchell the School-Little Rock,North Little Rock,AR,0.3,13135.8,4970.0,0.117
National Park College,Hot Springs,AR,0.4,13003.64,4920.0,0.135
University of Arkansas Community College-Batesville,Batesville,AR,0.4,13162.23,4980.0,0.137
Harding University,Searcy,AR,0.4,13215.09,5000.0,0.138
Henderson State University,Arkadelphia,AR,0.4,13188.66,4990.0,0.137
Hendrix College,Conway,AR,0.3,13188.66,4990.0,0.118
Hot Springs Beauty College,Hot Springs,AR,0.4,12977.21,4910.0,0.135
Jefferson Regional School of Nursing,Pine Bluff,AR,0.4,13373.67,5060.0,0.139
John Brown University,Siloam Springs,AR,0.3,13320.81,5040.0,0.119
Career Academy of Hair Design,Springdale,AR,0.3,13347.24,5050.0,0.119
Academy of Salon and Spa,Fort Smith,AR,0.3,13320.81,5040.0,0.119
Arkansas State University Mid-South,West Memphis,AR,0.3,13267.95,5020.0,0.118
Arkansas Northeastern College,Blytheville,AR,0.4,13215.09,5000.0,0.138
New Tyler Barber College Inc,North Little Rock,AR,0.3,13135.8,4970.0,0.117
North Arkansas College,Harrison,AR,0.4,13188.66,4990.0,0.137
Northwest Technical Institute,Springdale,AR,0.3,13347.24,5050.0,0.119
Ouachita Baptist University,Arkadelphia,AR,0.4,13188.66,4990.0,0.137
Arkansas State University Three Rivers,Malvern,AR,0.4,13135.8,4970.0,0.137
Ozarka College,Melbourne,AR,0.4,13135.8,4970.0,0.137
University of the Ozarks,Clarksville,AR,0.4,13267.95,5020.0,0.138
University of Arkansas Community College-Morrilton,Morrilton,AR,0.4,13241.52,5010.0,0.138
Philander Smith College,Little Rock,AR,0.3,13135.8,4970.0,0.117
Phillips Community College of the University of Arkansas,Helena,AR,0.4,13373.67,5060.0,0.139
Southeast Arkansas College,Pine Bluff,AR,0.4,13373.67,5060.0,0.139
Professional Cosmetology Education Center,El Dorado,AR,0.4,13294.38,5030.0,0.138
University of Arkansas-Pulaski Technical College,North Little Rock,AR,0.3,13135.8,4970.0,0.117
University of Arkansas Hope-Texarkana,Hope,AR,0.4,13267.95,5020.0,0.138
University of Arkansas Community College Rich Mountain,Mena,AR,0.4,12897.92,4880.0,0.134
Paul Mitchell the School-Arkansas,Fayetteville,AR,0.3,13347.24,5050.0,0.119
Searcy Beauty College,Searcy,AR,0.4,13215.09,5000.0,0.138
Shorter College,N Little Rock,AR,0.3,13135.8,4970.0,0.117
Williams Baptist University,Walnut Ridge,AR,0.4,13241.52,5010.0,0.138
South Arkansas Community College,El Dorado,AR,0.4,13294.38,5030.0,0.138
Southern Arkansas University Main Campus,Magnolia,AR,0.4,13267.95,5020.0,0.138
Southern Arkansas University Tech,Camden,AR,0.4,13320.81,5040.0,0.139
University of Arkansas System Office,Little Rock,AR,0.3,13135.8,4970.0,0.117
Velvatex College of Beauty Culture,Little Rock,AR,0.3,13135.8,4970.0,0.117
University of Arkansas-Fort Smith,Fort Smith,AR,0.3,13347.24,5050.0,0.119
Academy of Art University,San Francisco,CA,0.4,13109.37,4960.0,0.137
Academy of Chinese Culture and Health Sciences,Oakland,CA,0.4,14536.59,5500.0,0.151
College of Alameda,Alameda,CA,0.4,14668.75,5550.0,0.153
Allan Hancock College,Santa Maria,CA,0.4,16280.99,6160.0,0.17
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,0.4,16043.11,6070.0,0.167
Berkeley School of Theology,Berkeley,CA,0.4,14536.59,5500.0,0.151
American Film Institute Conservatory,Los Angeles,CA,0.4,16280.99,6160.0,0.17
American Beauty College,West Covina,CA,0.4,15752.38,5960.0,0.164
American Career College-Los Angeles,Los Angeles,CA,0.4,16016.68,6060.0,0.167
American Conservatory Theater,San Francisco,CA,0.4,13109.37,4960.0,0.137
American River College,Sacramento,CA,0.3,15012.34,5680.0,0.134
Antelope Valley Community College District,Lancaster,CA,0.4,17919.66,6780.0,0.187
Art Center College of Design,Pasadena,CA,0.4,15884.53,6010.0,0.165
Associated Technical College-Los Angeles,Los Angeles,CA,0.4,16016.68,6060.0,0.167
Associated Technical College-San Diego,San Diego,CA,0.4,15937.39,6030.0,0.166
Azusa Pacific University,Azusa,CA,0.4,15884.53,6010.0,0.165
Bakersfield College,Bakersfield,CA,0.4,15831.67,5990.0,0.165
Barstow Community College,Barstow,CA,0.4,18263.25,6910.0,0.19
Bellus Academy-Chula Vista,Chula Vista,CA,0.4,16280.99,6160.0,0.17
Bethesda University,Anaheim,CA,0.4,15805.24,5980.0,0.165
Biola University,La Mirada,CA,0.4,15699.52,5940.0,0.164
Brownson Technical School,Anaheim,CA,0.4,15805.24,5980.0,0.165
Bryan University,Tempe,AZ,0.3,17628.92,6670.0,0.157
Butte College,Oroville,CA,0.3,15144.49,5730.0,0.135
California Institute of Integral Studies,San Francisco,CA,0.4,13109.37,4960.0,0.137
Cabrillo College,Aptos,CA,0.3,14298.72,5410.0,0.128
California Baptist University,Riverside,CA,0.4,16466.0,6230.0,0.172
California College of the Arts,San Francisco,CA,0.4,14378.01,5440.0,0.15
University of California-Hastings College of Law,San Francisco,CA,0.4,13109.37,4960.0,0.137
California Institute of Technology,Pasadena,CA,0.4,15884.53,6010.0,0.165
California Lutheran University,Thousand Oaks,CA,0.4,16492.43,6240.0,0.172
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,0.3,16307.42,6170.0,0.146
Alliant International University-San Diego,San Diego,CA,0.4,16175.26,6120.0,0.168
California State University-Bakersfield,Bakersfield,CA,0.4,15884.53,6010.0,0.165
California State University-Stanislaus,Turlock,CA,0.3,15488.08,5860.0,0.138
California State University-Chancellors Office,Long Beach,CA,0.4,15355.93,5810.0,0.16
California State University-San Bernardino,San Bernardino,CA,0.4,16518.86,6250.0,0.172
California State Polytechnic University-Pomona,Pomona,CA,0.4,15831.67,5990.0,0.165
California State University-Chico,Chico,CA,0.3,15303.07,5790.0,0.137
California State University-Dominguez Hills,Carson,CA,0.4,15752.38,5960.0,0.164
California State University-Fresno,Fresno,CA,0.3,15540.94,5880.0,0.139
California State University-Fullerton,Fullerton,CA,0.4,15725.95,5950.0,0.164
California State University-East Bay,Hayward,CA,0.4,15091.63,5710.0,0.157
California State University-Long Beach,Long Beach,CA,0.4,15488.08,5860.0,0.161
California State University-Los Angeles,Los Angeles,CA,0.4,15910.96,6020.0,0.166
California State University-Northridge,Northridge,CA,0.4,16228.13,6140.0,0.169
California State University-Sacramento,Sacramento,CA,0.3,15197.35,5750.0,0.136
University of California-Berkeley,Berkeley,CA,0.4,14536.59,5500.0,0.151
University of California-Davis,Davis,CA,0.3,15276.64,5780.0,0.136
University of California-Irvine,Irvine,CA,0.4,15858.1,6000.0,0.165
University of California-Los Angeles,Los Angeles,CA,0.4,15884.53,6010.0,0.165
University of California-Riverside,Riverside,CA,0.4,16571.72,6270.0,0.173
University of California-San Diego,La Jolla,CA,0.4,14880.19,5630.0,0.155
University of California-San Francisco,San Francisco,CA,0.4,13109.37,4960.0,0.137
